Timestamp,File Name,URL,Status,Note,Word Count,Start Time,End Time,Processing Time (s),OCR Confidence,Source
2026-07-21 18:15:17,PolicyMasterRecord.pdf,https://dilstoragetables2026.blob.core.windows.net/processed-documents/2b75d819-1f48-408a-bd7c-30722329b4e1.pdf?se=2026-07-21T13%3A45%3A17Z&sp=r&sv=2026-04-06&sr=b&sig=E/g3B9lXVKViYKwXHSaRgsyXpPgPuAal6AmZX/MaUoE%3D,Completed,Indexed Automatically,572,2026-07-21 18:15:01,2026-07-21 18:15:17,15.7,99.18,Manually Uploaded
2026-07-21 18:15:47,ClaimForm_2_REJECT_SunitaKapoor (2).pdf,Streamlit Upload,Needs Review,Policy Breach. Identity Mismatch: Claim says 'Sunita Kapoor' but Policy says 'Sunita Anil Kapoor',0,2026-07-21 18:15:32,2026-07-21 18:15:47,14.99,99.07,Manually Uploaded
2026-07-21 18:16:01,ClaimForm_3_REJECT_DeepakNair.pdf,Streamlit Upload,Needs Review,Policy Breach. Temporal Breach: Loss Date (2024-01-15) occurred before Policy Effective Date (2024-02-01),0,2026-07-21 18:15:47,2026-07-21 18:16:01,14.76,99.1,Manually Uploaded
2026-07-21 18:16:17,ClaimForm_1_APPROVE_RajanMehta.pdf,https://dilstoragetables2026.blob.core.windows.net/processed-documents/ab5e3a1c-207c-4fc8-9a16-a697068442bc.pdf?se=2026-07-21T13%3A46%3A17Z&sp=r&sv=2026-04-06&sr=b&sig=oIdqKBmpcNwfSdgKF4mYsaoYzt4dNtRr7O9WZIgkeLo%3D,Completed,Indexed Automatically,443,2026-07-21 18:16:02,2026-07-21 18:16:17,15.08,99.14,Manually Uploaded
2026-07-21 18:22:08,John Michael Smith-Acord-1-Property-Loss-Notice.png,f94d1905-7bee-475c-8aa0-afca74816179.png,Completed,Fully Indexed,420,2026-07-21 18:21:34,2026-07-21 18:22:08,34.14,98.57,Gmail
2026-07-21 18:22:21,CLAIM SETTLEMENT LETTER.docx (4).docx,Gmail Ingestion,Needs Review,Policy Breach. Identity Mismatch: Claim says 'Sanjay Rao' but Policy says 'Deepak Ramesh Nair',99,2026-07-21 18:22:08,2026-07-21 18:22:21,12.95,100.0,Gmail
2026-07-21 18:22:34,Filled accord form one.pdf,327ab1dc-6eb7-4ac1-a9df-5943175a6326.pdf,Completed,Fully Indexed,748,2026-07-21 18:22:21,2026-07-21 18:22:34,12.69,99.03,Gmail
2026-07-21 18:22:48,filled accord form five.pdf,51070d0d-4864-48b4-8bb4-901669bd26ea.pdf,Completed,Fully Indexed,772,2026-07-21 18:22:34,2026-07-21 18:22:48,13.76,98.62,Gmail
2026-07-21 18:23:01,filled accord form four.pdf,8bf478c4-1e65-4b83-a3e9-03ee64caa1d6.pdf,Completed,Fully Indexed,754,2026-07-21 18:22:48,2026-07-21 18:23:01,13.24,98.76,Gmail
2026-07-21 20:22:58,Home_Insurance_Policy_Schedule_SBI_General.docx,https://dilstoragetables2026.blob.core.windows.net/processed-documents/b77e906f-bbd1-4f86-a17e-c404c0fe3811.docx?se=2026-07-21T15%3A52%3A58Z&sp=r&sv=2026-04-06&sr=b&sig=yZlvLBv4McDWmxo/N8qDCBz7vIYjkgpdwSaURw5vLLQ%3D,Completed,Indexed Automatically,246,2026-07-21 20:22:45,2026-07-21 20:22:58,13.69,100.0,Manually Uploaded
2026-07-21 20:23:08,SBI_General_Policy_Premium_Invoice_Matthew_Anderson.pdf,https://dilstoragetables2026.blob.core.windows.net/processed-documents/8d6fded5-5923-4298-a4de-b388d17b25b5.pdf?se=2026-07-21T15%3A53%3A08Z&sp=r&sv=2026-04-06&sr=b&sig=h%2BBrqrdtPa9OsMO4Ru0sLPctIEsSc6zHuWuUZgVN/NI%3D,Completed,Indexed Automatically,120,2026-07-21 20:22:59,2026-07-21 20:23:08,9.2,99.38,Manually Uploaded
2026-07-21 20:23:36,FNOL_Home_Insurance_Claim_Form_Matthew_Anderson.docx,https://dilstoragetables2026.blob.core.windows.net/processed-documents/3c866001-c722-47d2-8626-714aaaef683f.docx?se=2026-07-21T15%3A53%3A36Z&sp=r&sv=2026-04-06&sr=b&sig=z5CMXhcrOOXDYRmk3pJzo2TrBpp1f5GY0UI21oEvxzk%3D,Completed,Indexed Automatically,278,2026-07-21 20:23:25,2026-07-21 20:23:36,10.93,100.0,Manually Uploaded
2026-07-21 20:26:17,FNOL_Claim_Form.docx,ad42db8e-7d20-41f9-9bd5-f1a228229cc5.docx,Completed,Fully Indexed,227,2026-07-21 20:26:06,2026-07-21 20:26:17,10.35,100.0,Gmail
2026-07-21 20:27:25,ClaimForm_2_REJECT_SunitaKapoor (2).pdf,643bdec6-bab2-452b-8490-5dbd53b90307.pdf,Rejected,Rejected by human reviewer,0,2026-07-21 20:27:25,2026-07-21 20:27:25,0.0,,Streamlit UI
2026-07-22 13:36:46,ClaimForm_3_REJECT_DeepakNair.pdf,57ebdd71-a96f-4e3e-bdf9-9d21734ed861.pdf,Rejected,Rejected by human reviewer,0,2026-07-22 13:36:46,2026-07-22 13:36:46,0.0,,Streamlit UI
